Release DateTime,Release Name,Release Filename,Release URL,QuickStats Only Release,Release Static Link,Release Includes JSON
2018-01-02T15:00:00Z,"Cotton System",cact0118,https://usda.library.cornell.edu/concern/publications/ng451h506,N,N,N
2018-01-02T15:00:00Z,"Fats & Oils",cafo0118,https://usda.library.cornell.edu/concern/publications/mp48sc77c,N,N,N
2018-01-02T15:00:00Z,"Grain Crushings",cagc0118,https://usda.library.cornell.edu/concern/publications/n583xt96p,N,N,N
2018-01-03T12:00:00Z,"State Stories",stwe0118,https://usda.library.cornell.edu/concern/publications/fq977t77k,N,N,N
2018-01-04T15:00:00Z,"Broiler Hatchery",brls0118,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-01-04T15:00:00Z,"Dairy Products",dary0118,https://usda.library.cornell.edu/concern/publications/m326m1757,N,N,N
2018-01-05T15:00:00Z,"Peanut Prices",pnpr0118,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-01-10T15:00:00Z,"Broiler Hatchery",brls0218,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-01-12T12:00:00Z,"Cotton Ginnings",ctgn0218,https://usda.library.cornell.edu/concern/publications/q524jn76v,N,N,N
2018-01-12T12:00:00Z,"Crop Production",crop0118,https://usda.library.cornell.edu/concern/publications/tm70mv177,N,N,N
2018-01-12T12:00:00Z,"Crop Production - Ann.",cropan18,https://usda.library.cornell.edu/concern/publications/k3569432s,N,N,N
2018-01-12T12:00:00Z,"Grain Stocks",grst0118,https://usda.library.cornell.edu/concern/publications/xg94hp534,N,N,N
2018-01-12T12:00:00Z,"Peanut Prices",pnpr0218,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-01-12T12:00:00Z,"Rice Stocks",rice0118,https://usda.library.cornell.edu/concern/publications/d791sg19j,N,N,N
2018-01-12T12:00:00Z,"Winter Wheat and Canola Seedings",wtrc0118,https://usda.library.cornell.edu/concern/publications/z890rt24s,N,N,N
2018-01-16T15:00:00Z,"Turkey Hatchery",tkha0118,https://usda.library.cornell.edu/concern/publications/k643b117x,N,N,N
2018-01-17T15:00:00Z,"Broiler Hatchery",brls0318,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-01-19T15:00:00Z,"Coffee",cafean18,https://usda.library.cornell.edu/concern/publications/3t945q80c,N,N,N
2018-01-19T15:00:00Z,"Peanut Prices",pnpr0318,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-01-23T12:00:00Z,"Cotton Ginnings",ctgn0418,https://usda.library.cornell.edu/concern/publications/q524jn76v,N,N,N
2018-01-23T15:00:00Z,"Chickens and Eggs",ckeg0118,https://usda.library.cornell.edu/concern/publications/fb494842n,N,N,N
2018-01-24T15:00:00Z,"Broiler Hatchery",brls0418,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
2018-01-24T15:00:00Z,"Capacity of Refrigerated Warehouses",rfwh0118,https://usda.library.cornell.edu/concern/publications/x059c7329,N,N,N
2018-01-24T15:00:00Z,"Cold Storage",cost0118,https://usda.library.cornell.edu/concern/publications/pg15bd892,N,N,N
2018-01-24T15:00:00Z,"Milk Production",mkpr0118,https://usda.library.cornell.edu/concern/publications/h989r321c,N,N,N
2018-01-25T15:00:00Z,"Livestock Slaughter",lstk0118,https://usda.library.cornell.edu/concern/publications/rx913p88g,N,N,N
2018-01-25T15:00:00Z,"Poultry Slaughter",psla0118,https://usda.library.cornell.edu/concern/publications/3197xm04j,N,N,N
2018-01-26T15:00:00Z,"Peanut Prices",pnpr0418,https://usda.library.cornell.edu/concern/publications/5t34sj58c,N,N,N
2018-01-29T15:00:00Z,"Peanut Stocks and Processing",pnst0118,https://usda.library.cornell.edu/concern/publications/02870v87z,N,N,N
2018-01-30T12:00:00Z,"State Stories",stwe0518,https://usda.library.cornell.edu/concern/publications/fq977t77k,N,N,N
2018-01-30T15:00:00Z,"Agricultural Prices",agpr0118,https://usda.library.cornell.edu/concern/publications/c821gj76b,N,N,N
2018-01-31T15:00:00Z,"Broiler Hatchery",brls0518,https://usda.library.cornell.edu/concern/publications/gm80hv35d,N,N,N
