year,tag,title,url
2026,Survey,"2025 Cotton Chemical Use",https://www.nass.usda.gov/Surveys/Guide_to_NASS_Surveys/Chemical_Use/2025_Cotton_Potatoes/ChemHighlights2025CottonFINAL.pdf
2026,Survey,"2025 Potatoes Chemical Use",https://www.nass.usda.gov/Surveys/Guide_to_NASS_Surveys/Chemical_Use/2025_Cotton_Potatoes/ChemHighlights2025PotatoFINAL.pdf
2026,Census,"2022 Census - Tenure, Ownership, and Transition of Agricultural Land (TOTAL) in 2024",https://www.nass.usda.gov/Publications/Highlights/2026/TOTAL24.pdf
2026,Census,"2022 Census - Horticulture in 2024",https://www.nass.usda.gov/Publications/Highlights/2026/HorticulturalSpecialties2024.pdf
2026,Census,"2022 Census - Floriculture in 2024",https://www.nass.usda.gov/Publications/Highlights/2026/2024-floriculture-highlights.pdf
2025,Survey,"2025 Agricultural Land Values and Cash Rents",https://www.nass.usda.gov/Publications/Highlights/2025/2025LandValuesCashRents_FINAL.pdf
2025,Census,"2022 Census - Family Farms",https://www.nass.usda.gov/Publications/Highlights/2025/Census22_HL_FamilyFarms_FINAL.pdf
2025,Survey,"2024 U.S. Farm Production Expenditures",https://www.nass.usda.gov/Publications/Highlights/2025/2025_FarmExpenditures_Highlights.pdf
2025,Survey,"2024 Vegetable Chemical Use",https://www.nass.usda.gov/Surveys/Guide_to_NASS_Surveys/Chemical_Use/2024_Vegetables/ChemHighlights-VegChem_final.pdf
2025,Survey,"2024 Conservation Effects Assessment Project",https://www.nass.usda.gov/Publications/Highlights/2025/CEAP_Highlights_2024.pdf
2025,Survey,"2024 Sorghum Chemical Use",https://www.nass.usda.gov/Surveys/Guide_to_NASS_Surveys/Chemical_Use/2024_Sorghum_Wheat/ChemHighlights-Sorghum-2024.pdf
2025,Survey,"2024 Wheat Chemical Use",https://www.nass.usda.gov/Surveys/Guide_to_NASS_Surveys/Chemical_Use/2024_Sorghum_Wheat/ChemHighlights-Wheat-2024.pdf
2025,Census,"2022 Census - Guam Agriculture in 2023",https://www.nass.usda.gov/Publications/Highlights/2025/Census22_HL_Guam.pdf
2025,Census,"2022 Census - American Samoa Agriculture in 2023",https://www.nass.usda.gov/Publications/Highlights/2025/Census22_HL_Samoa.pdf
2025,Census,"2022 Census - U.S. Virgin Islands Agriculture in 2023",https://www.nass.usda.gov/Publications/Highlights/2025/Census22_HL_VirginIslands.pdf
2025,Census,"2022 Census - Commonwealth of the Northern Mariana Islands Agriculture in 2023",https://www.nass.usda.gov/Publications/Highlights/2025/Census22_HL_MarianaIslands.pdf
2025,Survey,"2023 Conservation Practice Adoption Motivations Survey",https://www.nass.usda.gov/Publications/Highlights/2025/CPAMS_Highlights.pdf
