csv_file,inferred_feed_type,confidence,columns,sample_http,inferred_source_page,no_header_detected
2005 - 2005.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2005/US_2005.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2005/index.php,False
2006 - 2006.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2006/US_2006.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2006/index.php,False
2007 - 2007.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2007/US_2007.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2007/index.php,False
2008 - 2008.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2008/US_2008.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2008/index.php,False
2009 - 2009.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2009/US_2009.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2009/index.php,False
2010 - 2010.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2010/US_2010.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2010/index.php,False
2011 - 2011.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2011/US_2011.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2011/index.php,False
2012 - 2012.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2012/US_2012.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2012/index.php,False
2013 - 2013.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2013/US_2013.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2013/index.php,False
2014 - 2014.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2014/US_2014.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2014/index.php,False
2015 - 2015.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2015/US_2015.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2015/index.php,False
2016 - 2016.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2016/US_2016.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2016/index.php,False
2017 - 2017.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2017/US_2017.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2017/index.php,False
2018 - 2018.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2018/AL_2018.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2018/index.php,False
2019 - 2019.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2019/AL_2019.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2019/index.php,False
2020 - 2020.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2020/AL_2020.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2020/index.php,False
2021 - 2021.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2021/AL_2021.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2021/index.php,False
2022 - 2022.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2022/AL_2022.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2022/index.php,False
2022_errata_gcbtb08_WEB_B.csv,UNKNOWN,unknown,district|grape_type_code|grape_type_name|variety_code|variety_name|wt_price|brix_code|tons|row_type_code|row_type_name,,,False
2023 - 2023.csv,crop_progress_and_condition_grap,high,title|year|pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2023/AL_2023.pdf,https://www.nass.usda.gov/Charts_and_Maps/Crop_Progress_&_Condition/2023/index.php,False
Additional Landing Pages.csv,landing_page,high,id|title|field_content|new_path|old_path|,https://www.nass.usda.gov/About_NASS/index.php,https://www.nass.usda.gov/About_NASS/index.php,False
ag_survey - ag_survey_0.csv,survey,high,body|tab_content_7|about|tab_title_6|tab_content_2|tab_title_7|survey_name|tab_title_2|tab_content_3|tab_title_1|tab_content_1|tab_title_3|tab_title_4|tab_title_5|tab_content_5|tab_content_4|survey_new_url|referring_url|banner_image_urls|tab_content_6,https://www.nass.usda.gov/Surveys/Guide_to_NASS_Surveys/Crops_Stocks/index.php,https://www.nass.usda.gov/Surveys/Guide_to_NASS_Surveys/Crops_Stocks/index.php,False
alabama - alabama.csv,race_ethnicity_and_gender_profil,high,title|pdf|state,"https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Race,_Ethnicity_and_Gender_Profiles/Alabama/cpd01000.pdf","https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Race,_Ethnicity_and_Gender_Profiles/Alabama/index.php",False
Alabama - Congressional District Profiles - Sheet1.csv,congressional_district_profiles,medium,url|filename|state,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Congressional_District_Profiles/cd0101.pdf,https://www.nass.usda.gov/Publications/AgCensus/2017/Online_Resources/Congressional_District_Profiles/index.php,False
Alabama - Crop Progress - Formatted - Sheet1 (2).csv,state_releases_filtered,medium,url|title|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/AL_District_Counties.pdf,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/index.php,False
Alabama - Crop Progress - Formatted - Sheet1.csv,crop_progress_condition_state_re,medium,file|title|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/AL_District_Counties.pdf,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/index.php,False
Alabama - Crop Progress - Formatted - Sheet1_2 - Alabama - Crop Progress - Formatted - Sheet1_2.csv,state_releases_filtered,medium,url|title|state|category|date,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/AL_District_Counties.pdf,https://www.nass.usda.gov/Statistics_by_State/Alabama/Publications/County_Estimates/index.php,False
