title,url
 USDA NASS reschedules 2020 Local Foods Marketing Practices data release to April 28,https://www.nass.usda.gov/Newsroom/Notices/2022/01-13-2022.php
 NASS suspends pecan estimates for December and January,https://www.nass.usda.gov/Newsroom/Notices/2021/12-02-2021.php
 USDA NASS to collect additional information on 2020 Local Foods Marketing Practices Survey,https://www.nass.usda.gov/Newsroom/Notices/2021/10-15-2021.php
 NASS to review acreage earlier for certain crops,https://www.nass.usda.gov/Newsroom/Notices/2021/09-01-2021.php
 USDA NASS Reschedules Reports Due to Government Closure for Observance of Juneteenth Federal Holiday,https://www.nass.usda.gov/Newsroom/Notices/2021/06-17-2021.php
 NASS to Publish Market Year Average Price for Selected Crops Earlier,https://www.nass.usda.gov/Newsroom/Notices/2021/04-30-2021.php
 USDA Crop Progress report delayed until 5pm ET,https://www.nass.usda.gov/Newsroom/Notices/2021/04-05-2021.php
 USDA reschedules Jan. 20 Broiler Hatchery report,https://www.nass.usda.gov/Newsroom/Notices/2021/01-13-2021.php
 USDA NASS to Reinstate the Agricultural Labor Survey Previously Scheduled for Oct. 2020,https://www.nass.usda.gov/Newsroom/Notices/2020/12-10-2020.php
 NASS Reschedules North American Potatoes Report to December 9,https://www.nass.usda.gov/Newsroom/Notices/2020/12-01-2020.php
 USDA NASS to Suspend the October Agricultural Labor Survey,https://www.nass.usda.gov/Newsroom/Notices/2020/09-30-2020.php
 USDA NASS to Collect Additional Harvested Acreage Information,https://www.nass.usda.gov/Newsroom/Notices/2020/08-17-2020.php
 USDA NASS to Re-Survey North Dakota Operators with Previously Unharvested Corn and Soybeans,https://www.nass.usda.gov/Newsroom/Notices/2020/05-12-2020.php
 USDA NASS to Re-Survey Operators with Previously Unharvested Corn and Soybeans,https://www.nass.usda.gov/Newsroom/Notices/2020/04-07-2020.php
 USDA NASS Discontinues County Level Estimates for Selected Crops,https://www.nass.usda.gov/Newsroom/Notices/2020/02-13-2020.php
 USDA NASS to Re-Survey Operators with Unharvested Corn and Soybeans,https://www.nass.usda.gov/Newsroom/Notices/2020/01-10-2020.php
 USDA NASS reschedules reports due to Christmas Eve government closure,https://www.nass.usda.gov/Newsroom/Notices/2019/12-19-2019.php
 NASS Reschedules North American Potatoes Report to December 12,https://www.nass.usda.gov/Newsroom/Notices/2019/12-03-2019.php
 USDA NASS Direct Links for Today’s Reports,https://www.nass.usda.gov/Newsroom/Notices/2019/11-22-2019.php
 NASS to Continue National Crop Progress Reports Beyond November 25,https://www.nass.usda.gov/Newsroom/Notices/2019/11-20-2019.php
 USDA NASS to Collect Additional Harvested Acreage Information,https://www.nass.usda.gov/Newsroom/Notices/2019/10-16-2019.php
 NASS to Re-Survey Operators with Unharvested Small Grains,https://www.nass.usda.gov/Newsroom/Notices/2019/09-30-2019.php
 USDA NASS resumes data collection for the Colony Loss Survey,https://www.nass.usda.gov/Newsroom/Notices/2019/09-13-2019.php
 USDA NASS Mushrooms Report Delayed,https://www.nass.usda.gov/Newsroom/Notices/2019/08-20-2019.php
 NASS suspends data collection for Honey Bee Colonies survey,https://www.nass.usda.gov/Newsroom/Notices/2019/07-01-2019.php
 USDA NASS to Collect Updated Information on Planted Acreage,https://www.nass.usda.gov/Newsroom/Notices/2019/06-28-2019.php
 NASS to Publish a JSON (Java Script Object Notation) File for Principal Federal Economic Indicator Releases,https://www.nass.usda.gov/Newsroom/Notices/2019/05-08-2019.php
 USDA NASS posts program changes following 5-year review,https://www.nass.usda.gov/Newsroom/Notices/2019/03-12-2019.php
 USDA Reschedules Additional Reports Affected by Lapse in Federal Funding,https://www.nass.usda.gov/Newsroom/Notices/2019/03-11-2019.php
 USDA Reschedules Additional Reports Affected by Lapse in Federal Funding,https://www.nass.usda.gov/Newsroom/Notices/2019/02-21-2019.php
 USDA February 11 Egg Products Report Delayed,https://www.nass.usda.gov/Newsroom/Notices/2019/02-11-2019.php
 USDA Reschedules Reports Affected by Lapse in Federal Funding,https://www.nass.usda.gov/Newsroom/Notices/2019/02-06-2019.php
 STAKEHOLDER NOTICE: 2018 Puerto Rico Census of Agriculture will mail to farmers the first week of February,https://www.nass.usda.gov/Newsroom/Notices/2019/02-04-2019.php
 USDA reschedules Census of Agriculture data release and multiple data collection deadlines due to lapse in federal funding,https://www.nass.usda.gov/Newsroom/Notices/2019/02-01-2019.php
 USDA Reschedules Reports Affected by Lapse in Federal Funding,https://www.nass.usda.gov/Newsroom/Notices/2019/01-30-2019.php
 USDA NASS issues new release date for December Cattle on Feed and Hogs and Pigs reports,https://www.nass.usda.gov/Newsroom/Notices/2018/12-10-2018.php
 USDA suspends Cost of Pollination report,https://www.nass.usda.gov/Newsroom/Notices/2018/12-06a-2018.php
 USDA NASS to consider changing its county estimates program,https://www.nass.usda.gov/Newsroom/Notices/2018/12-06-2018.php
 USDA reschedules reports due to government closure for National Day of Mourning,https://www.nass.usda.gov/Newsroom/Notices/2018/12-04-2018.php
 NASS to Conduct Program Review,https://www.nass.usda.gov/Newsroom/Notices/2018/10-31-2018.php
 NASS to Collect Additional Harvested Acreage Information,https://www.nass.usda.gov/Newsroom/Notices/2018/10-25-2018.php
 NASS to Collect Additional Harvested Acreage Information,https://www.nass.usda.gov/Newsroom/Notices/2018/09-25-2018.php
 USDA September 10 Crop Progress Report Delayed,https://www.nass.usda.gov/Newsroom/Notices/2018/09-10-2018.php
 USDA-NASS Offers Direct Links to Upcoming Reports,https://www.nass.usda.gov/Newsroom/Notices/2018/08-08-2018.php
 USDA Reschedules Reports Delayed by Lapse of Federal Funding,https://www.nass.usda.gov/Newsroom/Notices/2018/01-23-2018.php
 USDA Reschedules December 27 Broiler Hatchery Report to December 28,https://www.nass.usda.gov/Newsroom/Notices/2017/12_18_2017.php
 USDA Delays the Puerto Rico Census of Agriculture,https://www.nass.usda.gov/Newsroom/Notices/2017/12_04_2017.php
 USDA Reschedules North American Potatoes Report to December 5,https://www.nass.usda.gov/Newsroom/Notices/2017/11_16_2017.php
 Hurricane Irma Impact on Florida Orange Production,https://www.nass.usda.gov/Newsroom/Notices/2017/10_13_2017.php
" USDA-NASS to Change the Universal Resource Locator (URL) for ""Today's Reports"" Access",https://www.nass.usda.gov/Newsroom/Notices/2017/10_04_2017.php
 NASS to Collect Additional Harvested Acreage Information,https://www.nass.usda.gov/Newsroom/Notices/2017/09_12_2017.php
 USDA Reschedules Vegetables Annual Summary Report,https://www.nass.usda.gov/Newsroom/Notices/2017/02_13_2017.php
" NASS to Release Reports at Noon on Thursday, Jan. 19, Instead of 3:00 p.m.",https://www.nass.usda.gov/Newsroom/Notices/2017/01_18_2017.php
" Reminder: NASS to Release Reports at 12 Noon on Friday, Dec. 23",https://www.nass.usda.gov/Newsroom/Notices/2016/12_21_2016.php
 USDA’s NASS to Release Results of the 2014 and 2015 Organic Certifier Survey,https://www.nass.usda.gov/Newsroom/Notices/2016/12_12_2016.php
 USDA Reschedules North American Potatoes Report to November 30,https://www.nass.usda.gov/Newsroom/Notices/2016/11_17_2016.php
 New USDA Cost of Pollination Report Scheduled for December 22,https://www.nass.usda.gov/Newsroom/Notices/2016/09_14_2016.php
 NASS Names Parsons Acting Chair of the Agricultural Statistics Board,https://www.nass.usda.gov/Newsroom/Notices/2016/06_13_2016.php
 Flour Milling Products Report Change: Two Regions Now Reported as One,https://www.nass.usda.gov/Newsroom/Notices/2016/05_02_2016.php
 NASS Corrects Data for Some Crops in the 2014 Organic Survey Report,https://www.nass.usda.gov/Newsroom/Notices/2016/04_21_2016.php
 USDA Crop Progress Report Delayed,https://www.nass.usda.gov/Newsroom/Notices/2016/04_04_2016.php
 Agricultural Statistics Board Chairman Mark Harris Retires - Board Executive Director Hubert Hamer is Acting Chair,https://www.nass.usda.gov/Newsroom/Notices/2016/03_31_2016.php
" Reminder: NASS to Release Reports at 12 Noon on Friday, March 25",https://www.nass.usda.gov/Newsroom/Notices/2016/03_18_2016.php
 NASS Suspends July Cattle and the August U.S. and Canadian Cattle Reports,https://www.nass.usda.gov/Newsroom/Notices/2016/03_04_2016.php
 NASS Websites Temporarily Not Available,https://www.nass.usda.gov/Newsroom/Notices/2016/02_05_2016.php
 NASS to Release Coffee Report on January 28,https://www.nass.usda.gov/Newsroom/Notices/2016/01_22_2016.php
 NASS to Re-Survey Operators in South Carolina,https://www.nass.usda.gov/Newsroom/Notices/2016/01_21_2016.php
 NASS Suspends Noncitrus Fruits and Nuts Preliminary 2015 Summary,https://www.nass.usda.gov/Newsroom/Notices/2016/01_07_2016.php
 Feral Swine Study Moves to Analysis Phase,https://www.nass.usda.gov/Newsroom/Notices/2015/09_25_2015.php
 NASS Announces Release Date for the 2014 Organic Survey Report,https://www.nass.usda.gov/Newsroom/Notices/2015/09_08_2015.php
 NASS Delays 2014 Organic Survey Report,https://www.nass.usda.gov/Newsroom/Notices/2015/08_26_2015.php
 NASS Releases 2015 Cash Rents and Land Values Data,https://www.nass.usda.gov/Newsroom/Notices/2015/08_05_2015.php
 NASS Reschedules Newest Current Agricultural Industrial Report,https://www.nass.usda.gov/Newsroom/Notices/2015/07_29_2015.php
 NASS to Resurvey Growers for Acres Planted in Several States,https://www.nass.usda.gov/Newsroom/Notices/2015/06_30_2015.php
" Reminder: NASS to Release Reports at 12 Noon on Friday, May 22",https://www.nass.usda.gov/Newsroom/Notices/2015/05_21_2015.php
 Web Site Maintenance to Make NASS Agricultural Statistics Quick Stats Database and Online Survey Response Services Unavailable Beginning April 10,https://www.nass.usda.gov/Newsroom/Notices/2015/04_09_2015.php
 NASS to Release Corrected Livestock Slaughter Report March 24 at 3:00 p.m.,https://www.nass.usda.gov/Newsroom/Notices/2015/03_24_2015.php
 Livestock Slaughter Report Data Errors Found,https://www.nass.usda.gov/Newsroom/Notices/2015/03_20_2015.php
 NASS Modifies Agriculture Prices Program,https://www.nass.usda.gov/Newsroom/Notices/2015/03_11_2015a.php
 NASS Modifies Publication Schedule for Rice Prices,https://www.nass.usda.gov/Newsroom/Notices/2015/03_11_2015.php
 NASS Reschedules the December 26 Weekly Peanut Prices Report to December 24,https://www.nass.usda.gov/Newsroom/Notices/2014/12_09_2014.php
 NASS Modifies Agricultural Prices Program,https://www.nass.usda.gov/Newsroom/Notices/2014/11_17_2014.php
 NASS Announces New Dates for Several Census of Agriculture Reports,https://www.nass.usda.gov/Newsroom/Notices/2014/10_27_2014.php
 NASS Announces Changes to Cash Rents Program,https://www.nass.usda.gov/Newsroom/Notices/2014/10_02_2014.php
 NASS to Re-Survey Operators with Unharvested Small Grains,https://www.nass.usda.gov/Newsroom/Notices/2014/09_30_2014.php
 QuickStats Database Update,https://www.nass.usda.gov/Newsroom/Notices/2014/08_11_2014.php
 NASS Reschedules the Annual Cherry Production Report for June 25 Release,https://www.nass.usda.gov/Newsroom/Notices/2014/06_09_2014.php
 NASS Sets Dates for Release of Five-Year Final Estimate Bulletins,https://www.nass.usda.gov/Newsroom/Notices/2014/05_21_2014.php
 USDA April Crop Progress Report Delayed,https://www.nass.usda.gov/Newsroom/Notices/2014/04_07_2014.php
 NASS to Release Cherry Report on March 17,https://www.nass.usda.gov/Newsroom/Notices/2014/03_14_2014.php
" NASS and Statistics Canada Reschedule Joint Cattle, Sheep and Hogs Statistics Publications",https://www.nass.usda.gov/Newsroom/Notices/2014/02_19_2014.php
 NASS to Reinstate Agricultural Estimates Programs,https://www.nass.usda.gov/Newsroom/Notices/2014/02_12b_2014.php
 North American Potatoes Report to be Published on February 12,https://www.nass.usda.gov/Newsroom/Notices/2014/02_12_2014.php
 NASS Releases 2013 Geospatial Data for U.S. Crops,https://www.nass.usda.gov/Newsroom/Notices/2014/02_11_2014.php
 NASS and Statistics Canada Delay North American Potatoes Publication,https://www.nass.usda.gov/Newsroom/Notices/2014/01_28_2014.php
 USDA to Release Crop Reports as Scheduled Today,https://www.nass.usda.gov/Newsroom/Notices/2013/12_10_2013.php
 NASS Announces 2014 Report Release Schedule,https://www.nass.usda.gov/Newsroom/Notices/2013/12_06_2013.php
 NASS Continues to Suspend Certain Statistical Estimates and Reports due to Sequestration,https://www.nass.usda.gov/Newsroom/Notices/2013/11_19_2013.php
" NASS to Release Preliminary Results of 2012 Census of Agriculture on February 20, 2014",https://www.nass.usda.gov/Newsroom/Notices/2013/11_13_2013.php
 NASS Announces Changes to November Crop Production Report,https://www.nass.usda.gov/Newsroom/Notices/2013/10_24_2013.php
 Release of 2012 Census of Agriculture Data Delayed,https://www.nass.usda.gov/Newsroom/Notices/2013/10_23_2013.php
 NASS Updates Schedule for October Reports,https://www.nass.usda.gov/Newsroom/Notices/2013/10_17_2013.php
 2013 Almond Production Down 2 Percent from the 2012 Final Production,https://www.nass.usda.gov/Newsroom/Notices/2013/09_27_2013a.php
 2013 Walnut Production Down Slightly from the 2012 Final Production,https://www.nass.usda.gov/Newsroom/Notices/2013/09_27_2013b.php
 2013 Raisin-type Grape Production Forecast is Up 25.5 Percent From the 2012 Final Production,https://www.nass.usda.gov/Newsroom/Notices/2013/09_20_2013.php
 NASS to Resume Milk Production Surveys in October,https://www.nass.usda.gov/Newsroom/Notices/2013/08_28_2013.php
 NASS to Release 2013 Farm Computer Usage Results on August 20,https://www.nass.usda.gov/Newsroom/Notices/2013/08_08_2013.php
 NASS and Statistics Canada Suspend Joint August Cattle Statistics Publication,https://www.nass.usda.gov/Newsroom/Notices/2013/07_18_2013.php
 NASS to Collect Additional Soybean Acreage Data,https://www.nass.usda.gov/Newsroom/Notices/2013/06_28_2013.php
 NASS to Release Farm Safety Survey Results on May 30,https://www.nass.usda.gov/Newsroom/Notices/2013/05_21_2013.php
 NASS Releases 2012 Chemical Use Data for Soybeans and Wheat,https://www.nass.usda.gov/Newsroom/Notices/2013/05_15_2013.php
 NASS Cancels Puerto Rico Various Agricultural Statistics 2012 Summary,https://www.nass.usda.gov/Newsroom/Notices/2013/04_22_2013.php
 NASS to Provide Partial Milk Production Estimates for the Remainder of Fiscal Year 2013,https://www.nass.usda.gov/Newsroom/Notices/2013/04_03_2013.php
 NASS Suspends Certain Statistical Estimates and Reports Due to Sequestration,https://www.nass.usda.gov/Newsroom/Notices/2013/03_12_2013.php
 NASS and Statistics Canada Reschedule February Livestock Publications,https://www.nass.usda.gov/Newsroom/Notices/2013/02_13_2013.php
 USDA to Begin Noon-time Crop Reports on January 11,https://www.nass.usda.gov/Newsroom/Notices/2013/01_08_2013.php
 NASS Announces Annual County Estimates for Small Grains Will be Available December 13,https://www.nass.usda.gov/Newsroom/Notices/2012/12_06_2012.php
 NASS Reschedules November Farm Labor Report,https://www.nass.usda.gov/Newsroom/Notices/2012/11_15_2012.php
 NASS Reschedules Reports Delayed on October 29,https://www.nass.usda.gov/Newsroom/Notices/2012/10_31_2012.php
" NASS Delays October 29, 2012 Reports",https://www.nass.usda.gov/Newsroom/Notices/2012/10_28_2012.php
 2011 U.S. Marketing Year Average Price of Upland Cotton Up from 2010,https://www.nass.usda.gov/Newsroom/Notices/2012/10_11_2012.php
 NASS-Statistics Canada Discontinue October Hog Statistics Publication,https://www.nass.usda.gov/Newsroom/Notices/2012/10_01_2012.php
 NASS to Publish Organic Survey Results,https://www.nass.usda.gov/Newsroom/Notices/2012/09_27_2012.php
 NASS Releases 2011 Fruit Crops Agricultural Chemical Use Data,https://www.nass.usda.gov/Newsroom/Notices/2012/08_01_2012.php
 Delay - NASS to Release 2011 Fruit Crops Agricultural Chemical Use Data on August 1,https://www.nass.usda.gov/Newsroom/Notices/2012/07_25_2012.php
 Reminder: 30-Day Public Comment Period on Statistical Reports Ends Today,https://www.nass.usda.gov/Newsroom/Notices/2012/07_09_2012.php
 USDA-NASS Changes Release Date for Floriculture Production Report,https://www.nass.usda.gov/Newsroom/Notices/2012/05_24_2012.php
 NASS to Publish Farm Labor Report,https://www.nass.usda.gov/Newsroom/Notices/2012/05_03_2012.php
 NASS to Publish New Agricultural Chemical Use Data,https://www.nass.usda.gov/Newsroom/Notices/2012/05_02_2012.php
 NASS Issues Correction to Agricultural Safety Report,https://www.nass.usda.gov/Newsroom/Notices/2012/04_24_2012.php
 National Agricultural Statistics Service's April 16 Reports Are Delayed,https://www.nass.usda.gov/Newsroom/Notices/2012/04_16_2012.php
 NASS Discontinues Dairy Products Prices Report,https://www.nass.usda.gov/Newsroom/Notices/2012/04_05_2012.php
 NASS to Release the Agricultural Safety Report,https://www.nass.usda.gov/Newsroom/Notices/2012/03_29_2012.php
 NASS Announces 2012 Crop Progress Reports Will Begin April 2,https://www.nass.usda.gov/Newsroom/Notices/2012/03_28_2012.php
 NASS Announces 2012 Apple In-Season Forecast Schedule,https://www.nass.usda.gov/Newsroom/Notices/2012/03_09_2012.php
 NASS Announces 2012 Farm Labor Report Schedule,https://www.nass.usda.gov/Newsroom/Notices/2012/02_16_2012.php
 NASS Changes Frequency of In-Season Fruit and Vegetable Reporting,https://www.nass.usda.gov/Newsroom/Notices/2012/01_25_2012.php
 North American Potatoes Release Rescheduled,https://www.nass.usda.gov/Newsroom/Notices/2012/01_18_2012.php
